datetime,location,co2
2017-03-25 09:10:04,Georgetown,782
2017-03-25 09:10:05,Georgetown,789
2017-03-25 09:10:06,Georgetown,792
2017-03-25 09:10:07,Georgetown,792
2017-03-25 09:10:08,Georgetown,797
2017-03-25 09:10:09,Georgetown,792
2017-03-25 09:10:10,Georgetown,792
2017-03-25 09:10:11,Georgetown,792
2017-03-25 09:10:12,Georgetown,789
2017-03-25 09:10:13,Georgetown,797
2017-03-25 09:10:14,Georgetown,795
2017-03-25 09:10:15,Georgetown,787
2017-03-25 09:10:16,Georgetown,787
2017-03-25 09:10:17,Georgetown,779
2017-03-25 09:10:18,Georgetown,779
2017-03-25 09:10:19,Georgetown,774
2017-03-25 09:10:20,Georgetown,787
2017-03-25 09:10:21,Georgetown,784
2017-03-25 09:10:22,Georgetown,797
2017-03-25 09:10:23,Georgetown,784
2017-03-25 09:10:24,Georgetown,774
2017-03-25 09:10:25,Georgetown,779
2017-03-25 09:10:26,Georgetown,787
2017-03-25 09:10:27,Georgetown,787
2017-03-25 09:10:28,Georgetown,797
2017-03-25 09:10:29,Georgetown,795
2017-03-25 09:10:30,Georgetown,789
2017-03-25 09:10:31,Georgetown,774
2017-03-25 09:10:32,Georgetown,766
2017-03-25 09:10:33,Georgetown,774
2017-03-25 09:10:34,Georgetown,774
2017-03-25 09:10:35,Georgetown,768
2017-03-25 09:10:36,Georgetown,758
2017-03-25 09:10:37,Georgetown,763
2017-03-25 09:10:38,Georgetown,761
2017-03-25 09:10:39,Georgetown,771
2017-03-25 09:10:40,Georgetown,771
2017-03-25 09:10:41,Georgetown,766
2017-03-25 09:10:42,Georgetown,771
2017-03-25 09:10:43,Georgetown,768
2017-03-25 09:10:44,Georgetown,776
2017-03-25 09:10:45,Georgetown,779
2017-03-25 09:10:46,Georgetown,782
2017-03-25 09:10:47,Georgetown,787
2017-03-25 09:10:48,Georgetown,787
2017-03-25 09:10:49,Georgetown,797
2017-03-25 09:10:50,Georgetown,797
2017-03-25 09:10:51,Georgetown,795
2017-03-25 09:10:52,Georgetown,782
2017-03-25 09:10:53,Georgetown,779
