datetime,location,count_operation,count_change,count_total
2017-03-25 12:51:20.991000,Georgetown,+,1,11
2017-03-25 12:51:21.615000,Georgetown,+,1,12
2017-03-25 12:51:22.199000,Georgetown,+,1,13
2017-03-25 12:51:22.782000,Georgetown,+,1,14
2017-03-25 12:58:40.561000,Georgetown,+,1,15
2017-03-25 12:58:49.194000,Georgetown,+,1,16
2017-03-25 12:59:11.978000,Georgetown,+,1,17
2017-03-25 12:59:13.370000,Georgetown,+,1,18
2017-03-25 12:59:16.381000,Georgetown,+,1,19
2017-03-25 12:59:16.879000,Georgetown,+,1,20
2017-03-25 12:59:50.937000,Georgetown,+,1,21
2017-03-25 12:59:52.022000,Georgetown,+,1,22
2017-03-25 13:01:20.270000,Georgetown,-,1,21
2017-03-25 13:04:35.040000,Georgetown,+,1,22
2017-03-25 13:04:38.913000,Georgetown,+,1,23
2017-03-25 13:04:41.987000,Georgetown,+,1,24
2017-03-25 13:04:43.787000,Georgetown,+,1,25
2017-03-25 13:04:45.428000,Georgetown,+,1,26
2017-03-25 13:05:00.040000,Georgetown,+,1,27
2017-03-25 13:05:01.089000,Georgetown,+,1,28
2017-03-25 13:05:02.452000,Georgetown,+,1,29
2017-03-25 13:05:03.740000,Georgetown,+,1,30
2017-03-25 13:05:04.709000,Georgetown,-,1,30
2017-03-25 13:08:12.063000,Georgetown,+,1,31
2017-03-25 13:31:07.529000,Georgetown,-,1,30
2017-03-25 13:40:29.202000,Georgetown,+,1,31
2017-03-25 14:00:12.612000,Georgetown,-,1,30
2017-03-25 14:05:30.950000,Georgetown,+,1,31
2017-03-25 14:10:09.971000,Georgetown,-,1,30
2017-03-25 14:16:12.378000,Georgetown,+,1,31
2017-03-25 14:26:57.108000,Georgetown,-,1,30
2017-03-25 14:26:57.896000,Georgetown,-,1,29
2017-03-25 14:34:57.835000,Georgetown,-,1,28
2017-03-25 14:34:58.675000,Georgetown,-,1,27
2017-03-25 14:34:59.250000,Georgetown,-,1,26
2017-03-25 14:34:59.850000,Georgetown,-,1,25
2017-03-25 14:35:01.981000,Georgetown,-,1,24
2017-03-25 14:35:13.557000,Georgetown,-,1,23
2017-03-25 14:35:17.717000,Georgetown,-,1,22
2017-03-25 14:35:29.656000,Georgetown,-,1,21
2017-03-25 14:36:11.859000,Georgetown,-,1,20
2017-03-25 14:36:46.292000,Georgetown,+,1,21
2017-03-25 14:37:29.967000,Georgetown,+,1,22
2017-03-25 14:37:34.181000,Georgetown,-,1,21
2017-03-25 14:37:35.710000,Georgetown,+,1,22
2017-03-25 14:37:50.493000,Georgetown,+,1,23
2017-03-25 14:38:27.138000,Georgetown,+,1,24
2017-03-25 14:38:34.112000,Georgetown,+,1,25
2017-03-25 14:38:35.433000,Georgetown,+,1,26
2017-03-25 14:38:53.692000,Georgetown,+,1,27
2017-03-25 14:39:07.714000,Georgetown,+,1,28
2017-03-25 14:39:15.317000,Georgetown,+,1,29
2017-03-25 14:40:28.984000,Georgetown,-,1,28
2017-03-25 14:42:34.368000,Georgetown,-,1,27
2017-03-25 14:42:42.003000,Georgetown,+,1,28
2017-03-25 14:44:36.340000,Georgetown,+,1,29
2017-03-25 14:45:23.549000,Georgetown,+,1,30
2017-03-25 14:45:52.257000,Georgetown,+,1,31
2017-03-25 15:36:06.512000,Georgetown,-,1,30
2017-03-25 15:38:55.634000,Georgetown,+,1,31
2017-03-25 16:02:10.259000,Georgetown,-,1,30
2017-03-25 16:02:13.807000,Georgetown,-,1,29
2017-03-25 16:02:20.995000,Georgetown,-,1,28
